id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
1,Jessica,Holland,CC,716909874,2002-10-12,2024-08-31,PREMIUM,671,Lake Karenshire,West Virginia,INACTIVO,OFICINA
2,Barbara,Johnson,CE,923500775,2011-11-27,2024-11-15,,588,West Robert,North Carolina,,
3,Donald,Washington,CC,338359007,1999-07-21,2024-01-01,,323,Debraview,Nevada,ACTIVO,APP
4,,,CC,549027631,1971-06-14,2024-03-29,,705,Walkerfurt,Connecticut,ACTIVO,WEB
5,Jason,Newton,CC,460430610,1982-12-18,2024-10-08,BASICO,607,Jocelynview,Virginia,INACTIVO,WEB
6,Julie,Garcia,CE,486565893,2008-01-20,2024-05-18,BASICO,671,Tranhaven,Massachusetts,INACTIVO,APP
7,Mike,Arnold,,989030739,2005-07-21,2024-03-27,ESTANDAR,514,New Jennifer,Pennsylvania,ACTIVO,WEB
8,Thomas,Ramirez,CC,613891482,2008-04-20,2024-01-02,PREMIUM,561,Christon,Alabama,ACTIVO,APP
9,Nicholas,Garcia,CC,535534388,1977-07-05,2024-12-14,ELITE,645,Valenciatown,Montana,INACTIVO,OFICINA
10,Matthew,Sparks,CE,478534506,1982-09-10,2024-06-16,PREMIUM,712,Evanborough,Pennsylvania,ACTIVO,OFICINA
11,Lisa,Brown,CC,461912676,1982-02-12,2024-04-28,ELITE,422,Port Robert,Utah,ACTIVO,OFICINA
12,Andres,Jensen,CC,215098415,1993-09-18,2024-03-20,ELITE,619,Nicholashaven,Indiana,ACTIVO,WEB
13,Richard,Galloway,CC,555666310,1980-06-27,2024-04-20,ELITE,636,Chandlertown,Missouri,ACTIVO,APP
14,Heidi,Wong,CC,518963898,1971-06-18,2024-06-13,PREMIUM,457,New Teresaside,Idaho,INACTIVO,WEB
15,John,Kaufman,CE,874745156,2009-01-06,2024-08-06,BASICO,626,East Christine,New Jersey,ACTIVO,
16,Richard,Sparks,CC,880900874,2003-07-14,2024-01-05,ESTANDAR,364,Jamieton,Connecticut,ACTIVO,WEB
17,Timothy,Garcia,CE,203596174,1981-03-11,2024-08-02,ESTANDAR,668,New Janettown,Missouri,INACTIVO,APP
18,Timothy,Watson,CE,874582463,1994-07-07,2024-07-13,BASICO,303,Port Evan,Hawaii,INACTIVO,WEB
19,James,Peterson,CE,433612418,2006-05-25,2024-10-08,ESTANDAR,359,Sanchezhaven,New Jersey,ACTIVO,WEB
20,Timothy,Beasley,CC,810816121,1994-11-13,2024-01-06,ELITE,344,Meganstad,Vermont,ACTIVO,APP
21,Ruben,,CE,987357974,1976-06-13,2024-10-26,ESTANDAR,842,West Chad,Kansas,INACTIVO,APP
22,Derrick,Ward,CC,267601844,1975-05-10,2024-02-27,PREMIUM,455,Judithview,North Dakota,ACTIVO,OFICINA
23,Harry,Gallagher,CE,251817508,1978-02-19,2024-12-02,BASICO,363,Bowerschester,Wyoming,INACTIVO,
24,James,Medina,,611558664,1985-03-02,2024-10-28,BASICO,720,Jacobport,Maryland,ACTIVO,OFICINA
25,Larry,Petty,CE,681209358,1990-07-08,2024-04-11,BASICO,622,West James,Arkansas,ACTIVO,OFICINA
26,Barbara,Rose,CE,703645314,2019-06-09,2024-02-17,BASICO,408,New Tinaburgh,Maine,ACTIVO,WEB
27,Jonathon,Watson,CE,943905116,1977-10-07,2024-10-02,PREMIUM,762,Yoderport,Massachusetts,ACTIVO,WEB
28,Rebecca,Elliott,CE,256653509,1983-07-11,2024-06-11,ELITE,846,Jonathanmouth,New Mexico,ACTIVO,WEB
29,Kimberly,King,CE,177640857,1979-12-24,2024-11-27,ELITE,550,Hollybury,Nevada,ACTIVO,WEB
30,,Robinson,CE,278229652,1978-09-02,2024-07-14,ELITE,809,West Williamtown,Maryland,INACTIVO,WEB
31,Richard,Butler,CC,409527700,1996-01-16,2024-12-30,ESTANDAR,847,Kaylamouth,Michigan,ACTIVO,
32,Julie,English,CC,471647352,1970-07-03,2024-11-19,ELITE,740,,Arkansas,ACTIVO,WEB
33,Margaret,Gross,CE,356601354,1995-12-11,2024-05-11,ESTANDAR,753,Tammiechester,Oregon,ACTIVO,OFICINA
34,Nicholas,Lopez,CE,977613477,2001-01-10,2024-03-06,PREMIUM,573,Gloverchester,Kentucky,ACTIVO,OFICINA
35,Kelly,Ramos,CE,563576903,2011-07-18,2024-03-23,ESTANDAR,359,Kylieland,North Carolina,INACTIVO,WEB
36,Michael,Yates,CC,867067753,1997-05-07,2024-09-21,ELITE,641,Dayhaven,Nevada,INACTIVO,WEB
37,David,Weiss,CE,816947927,1982-12-06,2024-08-16,BASICO,693,Port Harry,Oregon,ACTIVO,OFICINA
38,Chelsea,Schneider,CC,896271138,2011-08-08,2024-09-29,,412,South Anna,Texas,ACTIVO,OFICINA
39,Mariah,Smith,CC,341668726,2016-12-31,2024-08-06,ELITE,520,West Juliachester,Missouri,INACTIVO,APP
40,,Curry,CC,972394253,2018-12-26,2024-08-12,,367,Port Vanessafort,Alabama,ACTIVO,APP
41,Kari,Oconnor,CC,164773622,2008-07-12,2024-04-22,ELITE,614,Dudleymouth,Connecticut,ACTIVO,WEB
42,Alicia,Hall,,942640137,2013-09-28,2024-05-19,PREMIUM,766,North Joshuamouth,,INACTIVO,WEB
43,Melissa,Bender,CE,873803659,1986-01-12,2024-07-03,BASICO,562,Shieldsville,New Hampshire,INACTIVO,WEB
44,Tyler,Cordova,,928372773,2006-05-26,2024-06-21,BASICO,430,,California,ACTIVO,OFICINA
45,Alicia,Hutchinson,CE,218489451,2002-12-25,2024-01-11,BASICO,723,Port Paula,Oregon,ACTIVO,WEB
46,Julie,Wong,,498207094,1971-11-08,2024-06-07,ELITE,566,Garrettton,West Virginia,INACTIVO,WEB
47,,Wood,CE,138243565,1981-03-14,2024-07-23,ESTANDAR,511,Lake Frankfurt,Nebraska,INACTIVO,
48,David,Russell,CC,238396193,2004-03-21,2024-08-17,ELITE,587,Erikashire,Alabama,ACTIVO,APP
49,Morgan,Bass,CE,326888872,2004-12-25,2024-01-26,,724,Karenport,Virginia,ACTIVO,APP
50,Emily,Robinson,CE,407698185,1992-12-13,2024-11-14,PREMIUM,543,East Alexandra,Idaho,INACTIVO,WEB
51,Zachary,,CC,535423120,2011-02-01,2024-06-07,ESTANDAR,633,East Maryhaven,Minnesota,ACTIVO,OFICINA
52,Cynthia,Johnson,,620992400,1994-09-26,2024-10-04,ESTANDAR,627,Karenmouth,Washington,INACTIVO,APP
53,Nancy,Gray,CC,279921858,1993-05-06,2024-05-27,ELITE,405,Saraland,Mississippi,INACTIVO,WEB
54,Kelly,Stewart,CE,326667453,2008-02-21,2024-09-22,PREMIUM,378,Mayshire,Texas,INACTIVO,APP
55,Brenda,Serrano,CC,364449758,1973-01-15,2024-03-23,ESTANDAR,464,South Christophershire,Virginia,ACTIVO,OFICINA
56,Tanya,Daniel,CE,239461490,2016-06-10,2024-01-26,BASICO,356,Wilsonside,Arkansas,INACTIVO,OFICINA
57,Jon,Baker,CE,376667147,2015-01-10,2024-03-11,ELITE,487,Murphyton,Pennsylvania,INACTIVO,OFICINA
58,Daniel,Jackson,CC,346145894,1971-01-22,2024-02-06,ELITE,351,North Brendaberg,New Mexico,ACTIVO,OFICINA
59,Nicholas,Brennan,,532001539,2005-05-03,2024-05-12,BASICO,371,Williamfurt,Connecticut,INACTIVO,WEB
60,Kyle,Singh,,849857705,1974-08-11,2024-05-05,BASICO,623,West Cody,Missouri,INACTIVO,OFICINA
61,Elizabeth,Stevens,CC,814061196,2011-02-28,2024-04-24,BASICO,637,Alisonchester,West Virginia,ACTIVO,WEB
62,Mary,Velez,CC,990889057,2013-01-03,2024-04-01,ESTANDAR,454,Jessebury,Florida,INACTIVO,OFICINA
63,Christopher,Sullivan,CC,657217897,1987-04-23,2024-08-29,PREMIUM,358,North Stephen,Vermont,ACTIVO,WEB
64,James,Baldwin,CC,603345365,1993-10-05,2024-07-18,ESTANDAR,574,Mikeland,Nevada,ACTIVO,OFICINA
65,Maria,Miller,CC,737181048,2002-08-25,2024-07-25,PREMIUM,500,Davidmouth,Pennsylvania,INACTIVO,WEB
66,Denise,Cox,CE,455134289,2007-02-21,2024-04-26,ELITE,594,Davidtown,,INACTIVO,APP
67,John,,CE,633037074,1993-11-28,2024-08-06,PREMIUM,621,South Reneefurt,Rhode Island,INACTIVO,WEB
68,Walter,Lewis,CC,841327489,1985-06-02,2024-10-31,BASICO,628,West Ricky,Washington,INACTIVO,WEB
69,John,Schwartz,CE,621473035,1998-01-26,2024-08-30,,689,Amyfort,Michigan,,OFICINA
70,Gary,Peterson,CE,152450384,2004-01-21,2024-10-18,BASICO,583,Collinsland,Connecticut,ACTIVO,OFICINA
71,,Santiago,CE,493921377,1984-02-26,2024-10-08,ELITE,475,Sabrinaville,Michigan,ACTIVO,APP
72,Michael,Hernandez,CE,889349125,1988-08-01,2024-10-27,ESTANDAR,648,Santosbury,Delaware,INACTIVO,OFICINA
73,,Wright,CC,924734087,1984-04-29,2024-11-12,ESTANDAR,731,East Jonathan,Kentucky,INACTIVO,WEB
74,Richard,Henry,CE,436663164,1981-09-28,2024-06-20,BASICO,681,Lake Eric,Wyoming,ACTIVO,OFICINA
75,Alicia,Welch,,815909426,1988-06-09,2024-03-16,ESTANDAR,571,Keithstad,Indiana,INACTIVO,OFICINA
76,Jason,Chan,CE,629911230,2017-10-25,2024-07-27,BASICO,791,South Hunterchester,,INACTIVO,WEB
77,Tracy,Hall,CE,206364344,1987-02-01,2024-11-09,PREMIUM,846,Staciefort,Montana,INACTIVO,APP
78,Angela,Miller,CE,540101758,2015-05-26,2024-04-14,ELITE,630,East David,Arizona,ACTIVO,OFICINA
79,Marvin,,CC,778130689,1991-05-25,2024-01-26,BASICO,457,Frederickport,Maine,ACTIVO,OFICINA
80,Emma,King,,223079175,1998-06-09,2024-12-16,ELITE,731,North Elizabethbury,Idaho,ACTIVO,WEB
81,Shane,Johnson,CC,227287033,1991-07-01,2024-03-19,ESTANDAR,624,Haydenburgh,Tennessee,ACTIVO,APP
82,April,Bush,CE,462677898,1974-05-20,2024-05-07,ELITE,415,East Thomas,Maryland,INACTIVO,
83,Cameron,Porter,CC,685706107,1988-10-19,2024-05-16,ELITE,819,Haleyport,Idaho,INACTIVO,OFICINA
84,Melissa,Strickland,CE,182947380,1980-02-10,2024-11-29,ELITE,734,North Davidside,North Dakota,INACTIVO,WEB
85,Natalie,Smith,CC,948496137,1970-11-29,2024-02-05,,821,Port Micheal,Illinois,ACTIVO,OFICINA
86,Jenna,Klein,CC,371217108,2007-07-15,2024-02-28,PREMIUM,565,South Ronald,Wisconsin,INACTIVO,WEB
87,Rodney,Smith,CE,336972243,2008-08-18,2024-08-17,PREMIUM,697,Lake Mark,Massachusetts,ACTIVO,
88,Steve,Taylor,CC,132121967,2010-08-26,2024-05-03,PREMIUM,401,Lake Richard,Texas,INACTIVO,OFICINA
89,Michael,Reed,CE,897905927,2009-09-20,2024-03-28,BASICO,362,Carterport,New Jersey,ACTIVO,WEB
90,Jorge,Bailey,CE,204880931,1997-04-12,2024-12-02,BASICO,810,Thomasshire,Tennessee,INACTIVO,OFICINA
91,Billy,Alvarez,CE,464927452,1986-09-20,2024-05-20,ESTANDAR,521,,Iowa,INACTIVO,APP
92,Antonio,Stewart,CE,682198121,1990-01-29,2024-09-29,PREMIUM,735,Josephchester,,INACTIVO,APP
93,Corey,Harris,CE,899920587,2013-12-19,2024-02-20,ELITE,489,Alyssafort,West Virginia,INACTIVO,OFICINA
94,Maria,Hawkins,CE,128715260,1988-03-22,2024-02-24,PREMIUM,633,Danielville,Indiana,INACTIVO,APP
95,Harold,Fisher,CE,779925261,1984-07-14,2024-12-02,BASICO,600,New Mark,Alabama,,APP
96,Willie,Ewing,CE,555271151,1972-11-30,2024-05-29,ESTANDAR,650,Markmouth,Iowa,INACTIVO,APP
97,Kimberly,Hill,CE,906237621,1994-11-11,2024-06-01,PREMIUM,414,South Michele,Nevada,INACTIVO,APP
98,Jeffrey,Ball,CE,214908116,2000-06-07,2024-08-06,BASICO,821,East Codyfurt,Massachusetts,INACTIVO,WEB
99,Tina,Perez,CE,336725077,1988-09-03,2024-08-06,BASICO,666,Bestmouth,Delaware,ACTIVO,OFICINA
100,Samantha,,CC,349843348,1993-04-22,2024-12-07,ELITE,568,New Joseph,Oklahoma,ACTIVO,OFICINA
101,Douglas,Gross,CC,687745515,1980-11-01,2024-09-14,PREMIUM,385,Garciachester,Georgia,ACTIVO,APP
102,Annette,Smith,CE,516621873,1989-03-10,2024-02-14,ELITE,677,Port Russell,Alabama,ACTIVO,OFICINA
103,Holly,,CE,399442653,2013-12-05,2024-09-25,PREMIUM,446,Jonathanmouth,Massachusetts,ACTIVO,OFICINA
104,Derek,Kline,CE,885410726,2018-12-19,2024-11-06,ESTANDAR,417,North Tanyahaven,West Virginia,ACTIVO,OFICINA
105,Jesse,Hood,CE,715918611,2010-03-19,2024-06-08,PREMIUM,434,Tuckerland,Arkansas,INACTIVO,
106,Seth,,CE,841505239,2019-02-25,2024-10-04,ELITE,826,South Tonymouth,Massachusetts,INACTIVO,APP
107,Jennifer,Carroll,CE,691993686,1996-08-03,2024-12-10,ELITE,505,North John,Nevada,ACTIVO,OFICINA
108,Jennifer,Murphy,CE,110186886,2019-12-19,2024-02-24,BASICO,532,New Amandaland,Florida,ACTIVO,WEB
109,,Barnes,CE,262691976,1996-04-11,2024-05-24,PREMIUM,365,Wagnerbury,Rhode Island,INACTIVO,APP
110,Sherry,Burch,CC,434509184,2011-10-07,2024-08-22,PREMIUM,303,Lake Lynnchester,Pennsylvania,INACTIVO,WEB
111,Angela,Yang,CE,471152165,2014-11-14,2024-06-27,ESTANDAR,302,Kennethborough,North Dakota,INACTIVO,WEB
112,Brendan,Trujillo,CC,257680885,2009-05-05,2024-07-26,BASICO,558,Justinmouth,Arkansas,INACTIVO,WEB
113,John,Moore,CE,583139260,1991-10-17,2024-05-15,ELITE,624,East Christopherview,,ACTIVO,OFICINA
